key,fullName,email,passport,dateOfBirth,specialNeeds
# base entity
passenger-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
# fullName - variations
passenger-02,"L","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-03,"Lo","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-06,"โลเร็ม อิปซัม","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-07,"لوريم إيبسوم","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-08,"洛伦·伊普森","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-09,"<marquee>Hacked</marquee>","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-10,"<script>alert(‘Hacked!’);</script>","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-11,"' or 'A' = 'A ","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
# email - variations
passenger-12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme:password@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","a@b.e",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","a@b.es",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","a@b.esx",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
# passport - variations
passenger-18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",ABC123,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-19,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",X9F4T6,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",Z7Y8X9W,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-21,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",QWERTY12,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",A1B2C3D4,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",987XYZ,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-24,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",LMNOPQR9,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",123456A,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-26,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",ZXCVBNM1,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
passenger-27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",0ABCDE9F,02/07/2012 0:00,"Lorem ipsum dolor sit ame"
# dateOfBirth - variations
passenger-28,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,01/01/2000 0:00,"Lorem ipsum dolor sit ame"
passenger-29,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,01/01/2000 0:01,"Lorem ipsum dolor sit ame"
passenger-30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,31/12/2024 23:59,"Lorem ipsum dolor sit ame"
passenger-31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,01/01/2025 0:00,"Lorem ipsum dolor sit ame"
# specialNeeds - variations
passenger-32,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"L"
passenger-33,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lo"
passenger-34,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin"
passenger-35,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing"
passenger-36,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"โลเร็ม อิปซัม"
passenger-37,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"لوريم إيبسوم"
passenger-38,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"洛伦·伊普森"
passenger-39,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"<marquee>Hacked</marquee>"
passenger-40,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"<script>alert(‘Hacked!’);</script>"
passenger-41,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","acme@lorem-ipsum.org",D8N4SWRTZ,02/07/2012 0:00,"' or 'A' = 'A "
